id,nom_estab,raz_social,nombre_act,per_ocu,entidad,municipio,telefono,correoelec,www,latitud,longitud,fecha_alta,FAQ's,Chat,Bot,Facebook,Youtube,Twitter,Instagram
6869695,ADMINISTRDORA DE HOTELES GRT SA CV/Giro agencia inmobiliaria ,ADMINISTRDORA DE HOTELES GRT SA DE CV,Hoteles con otros servicios integrados,101 a 250 personas,CIUDAD DE MÉXICO,Miguel Hidalgo,0,0,0,19.42765558,-99.17949844,2019-04,0,0,0,0,0,0,0
6787249,CAMINO REAL PEDREGAL,"ADMINISTRADORA DE HOTELES GRT SA DE CV/GRUPO REAL TURISMO, S. A. de C. V.",Hoteles con otros servicios integrados,51 a 100 personas,CIUDAD DE MÉXICO,Álvaro Obregón,52630530/018009997325/5262622,,WWW.CAMINOREAL.COM,19.31389377,-99.22032597,2017-03,0,1,0,1,0,1,1
6870208,CAMINO REAL PEDREGAL,"ADMINISTRDORA DE HOTELES GRT SA DE CV/GRUPO REAL TURISMO, S. A. de C. V.",Hoteles con otros servicios integrados,101 a 250 personas,CIUDAD DE MÉXICO,Tlalpan,5554493650//018009997325/5262622,,WWW.CAMINOREAL.COM,19.31826837,-99.22093425,2019-04,0,1,0,1,0,1,1
6317399,CAMINO REAL PEDREGAL,"ADMINISTRADORA DE HOTELES GRT SA DE CV/GRUPO REAL TURISMO, S. A. de C. V.",Hoteles con otros servicios integrados,101 a 250 personas,CIUDAD DE MÉXICO,La Magdalena Contreras,5554493650//018009997325/5262622,JORGE.ROBLES@CAMINOREAL.COM.MX,WWW.CAMINOREAL.COM.MX,19.31408616,-99.22093253,2014-12,0,1,0,1,0,1,1
6870207,CAMINO REAL SANTA FE,"ADMINISTRDORA DE HOTELES GRT SA DE CV/GRUPO REAL TURISMO, S. A. de C. V.",Hoteles con otros servicios integrados,101 a 250 personas,CIUDAD DE MÉXICO,Álvaro Obregón,5550041616//018009997325/5262622,,WWW.CAMINOREAL.COM,19.36780209,-99.26149239,2019-04,0,1,0,1,0,1,1
6317395,CAMINO REAL SANTA FÉ,"ADMINISTRADORA DE HOTELES GRT SA DE CV/GRUPO REAL TURISMO, S. A. de C. V.",Hoteles con otros servicios integrados,101 a 250 personas,CIUDAD DE MÉXICO,Álvaro Obregón,5550041616//018009997325/5262622,NOMINAS.SANTAFE@CAMINOREAL.COM,WWW.CAMINOREAL.COM,19.36786272,-99.2613711,2011-03,0,1,0,1,0,1,1
6413907,COMPAÑÍA DE OPERACIONES HOTELERAS DE MEXICO SA DE CV,COMPAÑÍA DE OPERACIONES HOTELERAS DE MEXICO SA DE CV,Hoteles con otros servicios integrados,51 a 100 personas,CIUDAD DE MÉXICO,Benito Juárez,5563782993,0,0,19.36454328,-99.17967805,2012-06,0,0,0,0,0,0,0
6317077,CONDESA DF HOTEL,HOTEL HABITA SA DE CV,Hoteles con otros servicios integrados,51 a 100 personas,CIUDAD DE MÉXICO,Cuauhtémoc,15552412600/018004008484,,WWW.GRUPOHABITA.MX,19.41621443,-99.17187569,2010-07,0,1,0,1,0,1,0
6226666,CORPORATE HOUSING ST ISIDRO,SCHANA SA DE CV,Hoteles sin otros servicios integrados,51 a 100 personas,CIUDAD DE MÉXICO,Miguel Hidalgo,50039000,info@stisidro.com,http://www.stisidro.com/,19.43386451,-99.21223233,2010-07,0,1,0,1,0,0,0
6258166,COURTVARD BY MARRIOTT REVOLUCIÓN/ COURTVARD BY MARRIOTT,HOTEL FLAMINGOS PLAZA SA DE CV/OPERADORA MARRIOTT SA DE CV,Hoteles con otros servicios integrados,51 a 100 personas,CIUDAD DE MÉXICO,Miguel Hidalgo,5557232961/55 5627 0220,CONTABILIDAD@HOTELCDMX.COM/No hay,WWW.COURTYARD-MEXICO-CITY-REVOLUCION.HOTEL-RN.COM/https://www.espanol.marriott.com/default.mi,19.39659172,-99.1853661,2010-07,1,0,0,1,1,1,1
